ItemID,Condition,Word,WordID,SurprisalGPT2,TargetRegion
4,b_exp, matters,5,4.792263507843018,started a diet
4,b_exp, with,6,0.7777130603790283,started a diet
4,b_exp, his,7,1.820587396621704,started a diet
4,b_exp, cousin,8,4.519016742706299,started a diet
4,b_exp, Tracy,9,8.298211097717285,started a diet
4,b_exp,.,10,2.0021557807922363,started a diet
4,b_exp, Tracy,11,2.353687047958374,started a diet
4,b_exp, was,12,1.9271944761276245,started a diet
4,b_exp, diagnosed,13,6.709561824798584,started a diet
4,b_exp, with,14,0.0713614672422409,started a diet
4,b_exp, diabetes,15,4.111313819885254,started a diet
4,b_exp, recently,16,6.9519805908203125,started a diet
4,b_exp,.,17,1.5938947200775146,started a diet
4,b_exp, Therefore,18,7.6859893798828125,started a diet
4,b_exp,",",19,0.28153717517852783,started a diet
4,b_exp, she,20,1.9757251739501953,started a diet
4,b_exp, started,21,5.04783821105957,started a diet
4,b_exp, a,22,2.9595658779144287,started a diet
4,b_exp, diet,23,2.163264036178589,started a diet
4,b_exp, last,24,9.92136287689209,started a diet
4,b_exp, month,25,2.3629961013793945,started a diet
4,b_exp,.,26,0.9468069076538086,started a diet
4,b_imp,George,1,10.177924398237888,started a diet
4,b_imp, was,2,5.058541297912598,started a diet
4,b_imp, discussing,3,8.755599975585938,started a diet
4,b_imp, lifestyle,4,11.702066421508789,started a diet
4,b_imp, matters,5,4.792263507843018,started a diet
4,b_imp, with,6,0.7777130603790283,started a diet
4,b_imp, his,7,1.820587396621704,started a diet
4,b_imp, cousin,8,4.519016742706299,started a diet
4,b_imp, Tracy,9,8.298211097717285,started a diet
4,b_imp,.,10,2.0021557807922363,started a diet
4,b_imp, Tracy,11,2.353687047958374,started a diet
4,b_imp, was,12,1.9271944761276245,started a diet
4,b_imp, diagnosed,13,6.709561824798584,started a diet
4,b_imp, with,14,0.0713614672422409,started a diet
4,b_imp, diabetes,15,4.111313819885254,started a diet
4,b_imp, recently,16,6.9519805908203125,started a diet
4,b_imp,.,17,1.5938947200775146,started a diet
4,b_imp, She,18,2.3475136756896973,started a diet
4,b_imp, started,19,5.181247711181641,started a diet
4,b_imp, a,20,3.310175895690918,started a diet
4,b_imp, diet,21,3.0898029804229736,started a diet
4,b_imp, last,22,9.09865951538086,started a diet
4,b_imp, month,23,2.272174835205078,started a diet
